Number Formats£¨²âÊÔ£©,123456789.1,,,,,,,,
Format,Positive,Negative Format 1,Negative Format 2,Negative Format 3,Negative Format 4,,,,
1234,123456789,-123456789,123456789,(123456789),(123456789),,Col I is hidden -->,,
1234.0,123456789.1,-123456789.1,123456789.1,(123456789.1),(123456789.1),,,,This is col J
1234.00,123456789.12,-123456789.12,123456789.12,(123456789.12),(123456789.12),,,,
"1,234","123,456,789","-123,456,789","123,456,789","-123,456,789","-123,456,789",,,,
"1,234.0","123,456,789.1","-123,456,789.1","123,456,789.1","(123,456,789.1)","(123,456,789.1)",,,,
"1,234.00","123,456,789.12","-123,456,789.12","123,456,789.12","-123,456,789.12","-123,456,789.12",,,,
"$1,234.00","$123,456,789.12","-$123,456,789.12","$123,456,789.12","($123,456,789.12)","($123,456,789.12)",,,,
Dates,Times,,,Percentages,Fonts,,,,
2008/12/31,2008/11/11 10:55,1/1/09 1:44:59 AM,23:00:00,50%,Bold,,,,
02/03/08,10:55:48,1/1/09 1:45:00 AM,23:30:00,1.23%,Italic,,,,
12/31,10:55:48,1/1/09 1:45:01 AM,,,Underline,,,,
"December 31, 2008",2009/12/1,,,,Bold - Italic,,,,
2008Äê12ÔÂ31ÈÕ,,,,,Bold - Underline,,,,
31-Dec,,,,,italic - Underline,,,,
Colors,,,,,,,,,
Red,Green,Blue,Yellow,Gray,Orange,Purple,Cyan,,
,,,,,,,,,
Format Colors Override Cell Colors:,,(444),444 ,,,,,,
,,,,,,,,,
Col/Row Spans,,,Alignment,Font Size,Font Family,,,,
colspan=3,,,left,10 point,Times New Roman,,,,
rowspan=3,colspan=2,,center,12 point,Arial,,,,
,"colspan=2
rowspan=2",,right,16 point,Verdana,,,,
,,,,20 point,Comic Sans MS,,,,
,,,,,,,,,
Formulas,,,,,,,,,
Boolean:,TRUE,FALSE,,,,,,,
String:,Test,ABC,,,,,,,
,,,,,,,,,
Borders,,,,,,,,,
Thick Solid:,left,top,right,bottom,none,all,,,
,,,,,,,,,
Double:,left,top,right,bottom,none,all,,,
,,,,,,,,,
Dashed:,left,top,right,bottom,none,all,,,
,,,,,,,,,
Dotted:,left,top,right,bottom,none,all,,,
,,,,,,,,,
Border Colors:,Red,Green,Yellow,Blue,,all,,,
This row is 100 px tall,,,http://www.google.com,This also links to Google,,,,,
,,,,,,,,,
The row above this is hidden,,Link to CNN,And this,This one too,,,,,
